Cls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-,500,0
Cross,400,50,0,0,1,3,0,100,0,0,0,0,1,255,255,255,255,255,255,1,0,700,0,0
Cross,407,40,90,90,1,7,0,100,0,0,0,0,1,255,255,255,255,255,255,1,0,700,0,0
Delay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,0
cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single a,250,0,90,90,1,50,0,100,10,10,5,5,1,255,255,255,255,255,255,1,500,0,500,0
cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single b,250,0,90,90,1,100,0,100,10,10,5,5,1,255,255,255,255,255,255,1,500,0,0,0
cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single 45,0,0,45,45,1,100,0,100,10,10,5,5,1,255,255,255,255,255,255,1,500,0,500,0
cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single 45,0,0,42,42,1,180,0,100,10,10,5,5,1,255,255,255,255,255,255,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,255,255,0,255,255,0,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,255,0,255,255,0,255,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,255,0,0,255,0,0,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,0,255,255,0,255,255,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,0,255,0,0,255,0,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,0,0,255,0,0,255,1,500,0,500,0
cls -1 blue,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
single 45,0,0,42,42,1,180,0,100,10,10,5,5,1,255,255,255,255,255,255,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,255,255,0,255,255,0,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,255,0,255,255,0,255,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,255,0,0,255,0,0,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,0,255,255,0,255,255,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,0,255,0,0,255,0,1,500,0,500,0
single 45 color,0,0,42,42,1,180,0,100,10,10,5,5,1,0,0,255,0,0,255,1,500,0,500,0
Delay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000,0
